pid	gid	pname
PWY0-1319	Zm00001d032730	CDP-diacylglycerol biosynthesis II
PWY0-1319	Zm00001d053957	CDP-diacylglycerol biosynthesis II
PWY0-1319	Zm00001d035813	CDP-diacylglycerol biosynthesis II
PWY0-1319	Zm00001d012701	CDP-diacylglycerol biosynthesis II
PWY0-1319	Zm00001d015103	CDP-diacylglycerol biosynthesis II
PWY0-1319	Zm00001d053101	CDP-diacylglycerol biosynthesis II
PWY0-1319	Zm00001d020000	CDP-diacylglycerol biosynthesis II
PWY0-1319	Zm00001d043401	CDP-diacylglycerol biosynthesis II
PWY0-1319	Zm00001d005587	CDP-diacylglycerol biosynthesis II
PWY0-1319	Zm00001d007860	CDP-diacylglycerol biosynthesis II
PWYQT-4429	Zm00001d044096	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)
PWYQT-4429	Zm00001d024980	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)
PWYQT-4429	Zm00001d016166	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)
PWYQT-4429	Zm00001d040129	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)
PWYQT-4429	Zm00001d046754	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)
PWYQT-4429	Zm00001d020057	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)
PWYQT-4429	Zm00001d053453	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)
PWYQT-4429	Zm00001d037294	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)
PWYQT-4429	Zm00001d012702	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)
PWY-6950	Zm00001d007718	DIMBOA-glucoside biosynthesis
PWY-6950	Zm00001d024258	DIMBOA-glucoside biosynthesis
PWY-6950	Zm00001d023933	DIMBOA-glucoside biosynthesis
PWY-6950	Zm00001d048634	DIMBOA-glucoside biosynthesis
PWY-6950	Zm00001d044954	DIMBOA-glucoside biosynthesis
PWY-6950	Zm00001d049265	DIMBOA-glucoside biosynthesis
PWY-6950	Zm00001d049179	DIMBOA-glucoside biosynthesis
PWY-6950	Zm00001d049181	DIMBOA-glucoside biosynthesis
