pid	gid	pname
PWY-6733	Zm00001d049950	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d000107	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d031959	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d019850	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d005676	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d008999	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d026144	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d006133	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d003630	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d026704	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d025445	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d048584	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d039303	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d002652	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d006909	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d030077	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d052281	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d019599	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d052485	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d023238	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d043851	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d053009	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d046915	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d043484	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d010943	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d044016	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d043376	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d023538	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d023351	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d005019	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d045295	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d052399	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d039274	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d003702	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d024723	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d053127	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d047663	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d035070	sporopollenin precursors biosynthesis
PWY-6733	Zm00001d028868	sporopollenin precursors biosynthesis
PWY-6724	Zm00001d009016	starch degradation II
PWY-6724	Zm00001d029983	starch degradation II
PWY-6724	Zm00001d047077	starch degradation II
PWY-6724	Zm00001d032333	starch degradation II
PWY-6724	Zm00001d027309	starch degradation II
PWY-6724	Zm00001d044693	starch degradation II
PWY-6724	Zm00001d038675	starch degradation II
PWY-6724	Zm00001d049810	starch degradation II
PWY-622	Zm00001d013428	starch biosynthesis
PWY-622	Zm00001d033746	starch biosynthesis
PWY-622	Zm00001d019976	starch biosynthesis
PWY-622	Zm00001d036666	starch biosynthesis
PWY-622	Zm00001d044211	starch biosynthesis
PWY-622	Zm00001d036664	starch biosynthesis
PWY-622	Zm00001d019568	starch biosynthesis
PWY-622	Zm00001d010482	starch biosynthesis
PWY-622	Zm00001d034256	starch biosynthesis
PWY-622	Zm00001d014644	starch biosynthesis
PWY-622	Zm00001d005925	starch biosynthesis
PWY-622	Zm00001d020771	starch biosynthesis
PWY-622	Zm00001d037234	starch biosynthesis
PWY-622	Zm00001d014150	starch biosynthesis
PWY-622	Zm00001d051976	starch biosynthesis
PWY-622	Zm00001d043237	starch biosynthesis
PWY-622	Zm00001d000002	starch biosynthesis
PWY-622	Zm00001d016657	starch biosynthesis
PWY-622	Zm00001d002256	starch biosynthesis
PWY-622	Zm00001d026337	starch biosynthesis
PWY-622	Zm00001d052263	starch biosynthesis
PWY-622	Zm00001d045261	starch biosynthesis
PWY-622	Zm00001d010821	starch biosynthesis
PWY-622	Zm00001d018033	starch biosynthesis
PWY-622	Zm00001d023256	starch biosynthesis
PWY-622	Zm00001d033910	starch biosynthesis
PWY-622	Zm00001d019266	starch biosynthesis
PWY-622	Zm00001d010157	starch biosynthesis
PWY-622	Zm00001d039131	starch biosynthesis
PWY-622	Zm00001d032385	starch biosynthesis
PWY-622	Zm00001d050032	starch biosynthesis
PWY-622	Zm00001d044129	starch biosynthesis
PWY-622	Zm00001d025723	starch biosynthesis
PWY-622	Zm00001d005546	starch biosynthesis
PWY-7221	Zm00001d050827	guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7221	Zm00001d039221	guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7221	Zm00001d009774	guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7221	Zm00001d023833	guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7221	Zm00001d021526	guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7221	Zm00001d004713	guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7221	Zm00001d029968	guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7221	Zm00001d024444	guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7221	Zm00001d023922	guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7221	Zm00001d028954	guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7221	Zm00001d026685	guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7221	Zm00001d004452	guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7221	Zm00001d034320	guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7221	Zm00001d034023	guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7221	Zm00001d013140	guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7221	Zm00001d051908	guanosine ribonucleotides <i>de novo</i> biosynthesis
THISYNARA-PWY	Zm00001d044228	superpathway of thiamine diphosphate biosynthesis III (eukaryotes)
THISYNARA-PWY	Zm00001d011183	superpathway of thiamine diphosphate biosynthesis III (eukaryotes)
PWY0-1313	Zm00001d028868	acetate conversion to acetyl-CoA
PWY0-1313	Zm00001d020343	acetate conversion to acetyl-CoA
PWY0-1313	Zm00001d000133	acetate conversion to acetyl-CoA
PWY0-1313	Zm00001d034519	acetate conversion to acetyl-CoA
PWY0-1313	Zm00001d047663	acetate conversion to acetyl-CoA
